Plot.id,Hexagon,Plot,Species,Live_status,DBH,Crown_class,Distance,Age.ca,Height,modelled.height2,Cruise_tree_class
H8P1,8,1,Sx: spruce hybrid,Standing (Live),51.8,4 (75-100% healthy),NA,NA,NA,30.85815868,5: Mature
H8P1,8,1,Bl: subalpine fir,Standing (Live),13.5,1 (0-25% healthy),NA,NA,NA,19.06589125,8: Younger immature
H8P1,8,1,Bl: subalpine fir,Standing (Live),29.3,4 (75-100% healthy),NA,NA,NA,23.47661293,5: Mature
H8P1,8,1,Sx: spruce hybrid,Standing (Live),12.3,3 (50-75% healthy),NA,NA,NA,18.75695053,8: Younger immature
H8P1,8,1,Bl: subalpine fir,Standing (Live),19.7,4 (75-100% healthy),NA,NA,NA,20.72067373,8: Younger immature
H8P1,8,1,Fd: douglas-fir,Standing (Live),15.3,4 (75-100% healthy),NA,NA,NA,19.53619813,8: Younger immature
H8P1,8,1,Bl: subalpine fir,Standing (Live),24.1,4 (75-100% healthy),NA,NA,NA,21.95459477,2: Older immature - Suspect
H8P1,8,1,Sx: spruce hybrid,Standing (Live),22.6,4 (75-100% healthy),NA,NA,NA,21.52838492,1: Older Immature
H8P1,8,1,Fd: douglas-fir,Standing (Live),24.8,4 (75-100% healthy),NA,NA,NA,22.15545928,8: Younger immature
H8P1,8,1,Bl: subalpine fir,Standing (Live),14.5,1 (0-25% healthy),NA,NA,NA,19.32615125,8: Younger immature
H8P1,8,1,Sx: spruce hybrid,Snag (Dead) (45-90%) ,34.5,1 (0-25% healthy),NA,NA,NA,25.06769125,7: Mature - Dead potential
H8P1,8,1,Bl: subalpine fir,Standing (Live),15,3 (50-75% healthy),NA,NA,NA,19.457239,8: Younger immature
H8P1,8,1,Bl: subalpine fir,Standing (Live),34.3,4 (75-100% healthy),13.24,NA,29.1,25.00521893,5: Mature
H8P1,8,1,Bl: subalpine fir,Standing (Live),7.5,3 (50-75% healthy),NA,NA,NA,17.55796525,8: Younger immature
H8P1,8,1,Bl: subalpine fir,Standing (Live),34.4,3 (50-75% healthy),NA,NA,NA,25.03644232,5: Mature
H8P1,8,1,Bl: subalpine fir,Standing (Live),27.4,4 (75-100% healthy),NA,NA,NA,22.91248412,5: Mature
H8P1,8,1,Bl: subalpine fir,Standing (Live),14.3,4 (75-100% healthy),NA,NA,NA,19.27389493,8: Younger immature
H8P1,8,1,Bl: subalpine fir,Standing (Live),25.1,4 (75-100% healthy),NA,NA,NA,22.24192717,8: Younger immature
H8P1,8,1,Sx: spruce hybrid,Snag (Dead) (45-90%) ,43.6,1 (0-25% healthy),NA,NA,NA,28.01825432,5: Mature
H8P1,8,1,Bl: subalpine fir,Standing (Live),7.5,1 (0-25% healthy),NA,NA,NA,17.55796525,8: Younger immature
H8P1,8,1,Bl: subalpine fir,Standing (Live),29.1,3 (50-75% healthy),NA,NA,NA,23.41679677,1: Older Immature
H8P1,8,1,Other,Snag (Dead) (45-90%) ,21,1 (0-25% healthy),NA,NA,NA,21.080095,3: Older Immature. Dead Potential
H8P1,8,1,Sx: spruce hybrid,Standing (Live),11,3 (50-75% healthy),NA,NA,NA,18.426415,8: Younger immature
